"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"C10T12";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"ACTIVITY";"Activité économique";"L";"Activités immobilières"
"ACTIVITY";"Activité économique";"B_D_E";"Industries extractives, énergie, eau, gestion des déchets et dépollution"
"ACTIVITY";"Activité économique";"I";"Hébergement et restauration"
"ACTIVITY";"Activité économique";"C29_30";"Fabrication de matériels de transport"
"ACTIVITY";"Activité économique";"C26T28";"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"H";"Transports et entreposage"
"ACTIVITY";"Activité économique";"F";"Construction"
"ACTIVITY";"Activité économique";"C_OTH";"Autres industries manufacturières (C15, C23, C27, C31, C32, C33)"
"ACTIVITY";"Activité économique";"OTQ";"Administration publique, défense, enseignement, santé humaine et action sociale"
"ACTIVITY";"Activité économique";"K";"Activités financières et d'assurance"
"ACTIVITY";"Activité économique";"R_S";"Arts, divertissement et loisirs ; autres activités de services"
"ACTIVITY";"Activité économique";"G";"Commerce ; réparation d'automobiles et de motocycles"
"ACTIVITY";"Activité économique";"J";"Information et communication"
"ACTIVITY";"Activité économique";"M_N";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien"
"ACTIVITY";"Activité économique";"C19";"Cokéfaction et raffinage"
"ACTIVITY";"Activité économique";"_T";"Total"
"AGE";"Âge";"Y_LT30";"Moins de 30 ans"
"AGE";"Âge";"Y_GE60";"60 ans ou plus"
"AGE";"Âge";"Y30T39";"De 30 à 39 ans"
"AGE";"Âge";"Y50T59";"De 50 à 59 ans"
"AGE";"Âge";"Y40T49";"De 40 à 49 ans"
"AGE";"Âge";"_T";"Total"
"DERA_MEASURE";"Mesure des salaires";"EFFECTIFS_EQTP";"Effectifs en EQTP"
"DERA_MEASURE";"Mesure des salaires";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"Salaire net EQTP mensuel moyen"
"FREQ";"Fréquence";"A";"Annuel"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E_GE5000";"5000 salariés et plus"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E2000T4999";"2000 à 4999 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E1000T1999";"1000 à 1999 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E500T999";"500 à 999 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E250T499";"250 à 499 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E5T9";"5 à 9 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E10T19";"10 à 19 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E50T99";"50 à 99 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E100T249";"100 à 249 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E20T49";"20 à 49 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E_LT5";"Moins de 5 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"_T";"Total"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"210X";"Artisans salariés de leur entreprise"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"220X";"Commerçants et assimilés, salariés de leur entreprise"
